backend,batch_size,warmup,repeat,num_images,total_batches,total_samples,avg_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,fps,avg_preprocess_ms,avg_infer_ms,avg_postprocess_ms
ORT_CPU,1,3,10,244,2440,2440,34.879645,36.830826,32.508910,48.856247,28.670016,2.533850,32.308293,0.037503
ORT_CPU,8,3,10,244,310,2440,275.909614,297.335499,128.945857,404.500113,28.527341,19.511827,256.159668,0.238119
ORT_CPU,32,3,10,244,80,2440,1021.071010,1102.061965,652.248048,1118.941621,29.870596,73.423938,946.788074,0.858998
ORT_CUDA,1,3,10,244,2440,2440,3.998688,4.598384,2.733241,16.366843,250.082050,2.394531,1.571901,0.032255
ORT_CUDA,8,3,10,244,310,2440,28.263940,35.705023,23.178227,42.012125,278.480913,19.272626,8.744661,0.246653
ORT_CUDA,32,3,10,244,80,2440,99.390029,117.214209,65.777370,122.028837,306.871830,71.141446,27.386731,0.861851
TensorRT_FP32,1,3,10,244,2440,2440,5.066744,5.622349,3.819177,24.578232,197.365423,2.562493,2.469190,0.035061
TensorRT_FP32,8,3,10,244,310,2440,26.600581,35.515010,9.920741,45.058036,295.894577,19.964057,6.387965,0.248559
TensorRT_FP32,32,3,10,244,80,2440,99.411719,131.672081,64.355701,137.875234,306.804874,77.295362,21.226554,0.889803
TensorRT_FP16,1,3,10,244,2440,2440,4.149555,5.079485,2.388907,17.044711,240.989670,2.573567,1.541716,0.034272
TensorRT_FP16,8,3,10,244,310,2440,24.868456,31.570074,8.115648,43.247073,316.504083,19.943943,4.679340,0.245173
TensorRT_FP16,32,3,10,244,80,2440,89.561555,112.281315,58.191228,116.403033,340.547906,76.516640,12.156388,0.888528
