timestamp, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W]
2026/07/22 18:37:00.071, P0, 42, 0 %, 0 %, 1807 MHz, 7500 MHz, 33.93 W
2026/07/22 18:37:01.090, P2, 43, 6 %, 1 %, 1807 MHz, 7300 MHz, 39.56 W
2026/07/22 18:37:02.103, P2, 43, 11 %, 3 %, 1807 MHz, 7300 MHz, 47.70 W
2026/07/22 18:37:03.121, P2, 44, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.67 W
2026/07/22 18:37:04.134, P2, 44, 11 %, 3 %, 1807 MHz, 7300 MHz, 49.44 W
2026/07/22 18:37:05.146, P2, 44, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.42 W
2026/07/22 18:37:06.162, P2, 44, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.81 W
2026/07/22 18:37:07.238, P2, 45, 11 %, 3 %, 1807 MHz, 7300 MHz, 49.45 W
2026/07/22 18:37:08.291, P2, 45, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.86 W
2026/07/22 18:37:09.299, P2, 45, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.91 W
2026/07/22 18:37:10.320, P2, 45, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.56 W
2026/07/22 18:37:11.372, P2, 45, 13 %, 4 %, 1807 MHz, 7300 MHz, 49.89 W
2026/07/22 18:37:12.417, P2, 45, 14 %, 4 %, 1807 MHz, 7300 MHz, 50.22 W
2026/07/22 18:37:13.459, P5, 44, 25 %, 5 %, 847 MHz, 810 MHz, 42.08 W
2026/07/22 18:37:14.497, P3, 44, 25 %, 5 %, 892 MHz, 5000 MHz, 29.64 W
2026/07/22 18:37:15.529, P3, 44, 21 %, 5 %, 892 MHz, 5000 MHz, 32.69 W
2026/07/22 18:37:16.559, P3, 44, 50 %, 33 %, 1042 MHz, 5000 MHz, 24.50 W
2026/07/22 18:37:17.592, P3, 44, 19 %, 4 %, 1042 MHz, 5000 MHz, 33.35 W
2026/07/22 18:37:18.619, P5, 43, 51 %, 32 %, 862 MHz, 810 MHz, 29.81 W
2026/07/22 18:37:19.643, P3, 44, 21 %, 5 %, 1035 MHz, 5000 MHz, 28.92 W
2026/07/22 18:37:20.666, P3, 44, 21 %, 5 %, 1035 MHz, 5000 MHz, 33.46 W
2026/07/22 18:37:21.685, P5, 43, 46 %, 28 %, 810 MHz, 810 MHz, 20.58 W
2026/07/22 18:37:22.714, P3, 44, 27 %, 6 %, 1005 MHz, 5000 MHz, 27.48 W
2026/07/22 18:37:23.732, P3, 44, 22 %, 5 %, 1005 MHz, 5000 MHz, 33.49 W
2026/07/22 18:37:24.748, P3, 44, 35 %, 5 %, 607 MHz, 5000 MHz, 32.66 W
2026/07/22 18:37:25.764, P5, 43, 38 %, 23 %, 720 MHz, 810 MHz, 24.60 W
2026/07/22 18:37:26.782, P3, 44, 50 %, 33 %, 1027 MHz, 5000 MHz, 21.22 W
2026/07/22 18:37:27.802, P3, 44, 22 %, 5 %, 1027 MHz, 5000 MHz, 32.33 W
2026/07/22 18:37:28.815, P5, 44, 32 %, 19 %, 645 MHz, 810 MHz, 30.81 W
2026/07/22 18:37:29.831, P5, 44, 39 %, 24 %, 727 MHz, 810 MHz, 21.33 W
